call_id,suspect_id,call_time,call_duration,recipient_relation
201,6,2025-06-01 19:42:04,4 min,Art Buyer
202,6,2025-06-01 19:51:02,7 min,Hospital
203,26,2025-06-01 19:27:11,1 min,Gallery
204,28,2025-06-01 19:39:44,9 min,Gallery
205,4,2025-06-01 19:38:14,1 min,Gallery
206,13,2025-06-01 19:28:40,6 min,Gallery
207,2,2025-06-01 19:25:18,2 min,Hospital
208,23,2025-06-01 19:21:53,7 min,Hospital
209,8,2025-06-01 19:51:29,7 min,Hospital
210,5,2025-06-01 19:56:39,6 min,Victim
211,16,2025-06-01 19:47:21,6 min,Family
212,14,2025-06-01 19:47:36,7 min,Friend
213,17,2025-06-01 19:42:45,10 min,Friend
214,12,2025-06-01 19:29:43,4 min,Family
215,14,2025-06-01 19:32:07,5 min,Victim
216,11,2025-06-01 19:38:37,1 min,Gallery
217,21,2025-06-01 19:52:52,6 min,Hospital
218,11,2025-06-01 19:24:58,9 min,Art Buyer
219,17,2025-06-01 19:38:27,4 min,Family
220,29,2025-06-01 19:41:15,2 min,Unknown
221,1,2025-06-01 19:21:44,1 min,Family
222,17,2025-06-01 19:36:13,9 min,Friend
223,7,2025-06-01 19:45:43,8 min,Hospital
224,29,2025-06-01 20:00:33,2 min,Gallery
225,25,2025-06-01 19:32:38,9 min,Unknown
226,22,2025-06-01 19:20:32,7 min,Hospital
227,16,2025-06-01 19:39:52,1 min,Gallery
228,4,2025-06-01 19:46:50,1 min,Unknown
229,17,2025-06-01 19:37:27,8 min,Unknown
230,18,2025-06-01 19:29:45,7 min,Art Buyer
231,13,2025-06-01 19:26:48,5 min,Gallery
232,14,2025-06-01 19:24:44,10 min,Friend
233,11,2025-06-01 19:27:06,10 min,Unknown
234,22,2025-06-01 19:32:20,3 min,Art Buyer
235,23,2025-06-01 19:36:31,3 min,Family
236,2,2025-06-01 19:53:33,5 min,Victim
237,8,2025-06-01 19:57:39,1 min,Family
238,9,2025-06-01 19:23:00,9 min,Art Buyer
239,13,2025-06-01 19:56:05,1 min,Family
240,24,2025-06-01 19:21:59,5 min,Hospital
241,12,2025-06-01 19:46:14,9 min,Gallery
242,7,2025-06-01 19:32:04,7 min,Unknown
243,15,2025-06-01 19:43:24,9 min,Unknown
244,3,2025-06-01 19:54:02,10 min,Friend
245,29,2025-06-01 19:44:09,3 min,Family
246,17,2025-06-01 19:37:49,4 min,Friend
247,1,2025-06-01 19:26:15,1 min,Unknown
248,9,2025-06-01 19:21:12,9 min,Friend
249,18,2025-06-01 19:31:44,8 min,Victim
250,3,2025-06-01 19:39:15,5 min,Family
251,14,2025-06-01 19:27:05,4 min,Victim
252,3,2025-06-01 19:55:04,6 min,Art Buyer
253,15,2025-06-01 19:46:29,10 min,Gallery
254,5,2025-06-01 19:33:49,4 min,Friend
255,10,2025-06-01 19:33:24,8 min,Gallery
256,14,2025-06-01 19:51:36,9 min,Friend
257,8,2025-06-01 19:41:26,2 min,Victim
258,6,2025-06-01 19:23:24,2 min,Victim
259,19,2025-06-01 19:56:28,4 min,Unknown
260,7,2025-06-01 19:41:46,6 min,Art Buyer
261,17,2025-06-01 19:25:48,10 min,Gallery
262,19,2025-06-01 19:36:34,4 min,Unknown
263,21,2025-06-01 19:23:01,6 min,Unknown
264,2,2025-06-01 19:21:53,6 min,Gallery
265,21,2025-06-01 19:55:43,10 min,Art Buyer
266,20,2025-06-01 19:41:25,2 min,Art Buyer
267,18,2025-06-01 19:34:36,8 min,Family
268,13,2025-06-01 19:48:50,4 min,Hospital
269,14,2025-06-01 19:23:51,4 min,Family
270,5,2025-06-01 19:40:13,9 min,Victim
271,14,2025-06-01 19:32:00,8 min,Unknown
272,12,2025-06-01 19:34:58,10 min,Victim
273,15,2025-06-01 19:41:26,5 min,Hospital
274,6,2025-06-01 19:49:49,5 min,Family
275,29,2025-06-01 19:29:59,7 min,Victim
276,19,2025-06-01 19:46:15,10 min,Unknown
277,12,2025-06-01 19:32:57,9 min,Gallery
278,14,2025-06-01 19:54:56,10 min,Gallery
279,14,2025-06-01 19:41:59,1 min,Friend
280,23,2025-06-01 19:38:09,2 min,Victim
281,11,2025-06-01 19:45:59,9 min,Unknown
282,17,2025-06-01 19:43:10,10 min,Art Buyer
283,8,2025-06-01 19:41:43,9 min,Hospital
284,13,2025-06-01 19:33:48,5 min,Hospital
285,18,2025-06-01 19:35:18,4 min,Unknown
286,3,2025-06-01 19:38:58,6 min,Art Buyer
287,17,2025-06-01 19:43:27,8 min,Family
288,26,2025-06-01 19:55:45,1 min,Victim
289,3,2025-06-01 19:44:58,7 min,Unknown
290,1,2025-06-01 19:54:58,8 min,Friend
